# Helios characterization  mode=driphold  started=20260602_181750
# charge=30.0s = 50.0 mL @ 1.667 mL/s   target_rh=80.0%
# notes=
elapsed_s,phase,puck_f,chamber_f,chamber_rh,column_f,column_rh,pressure_pa,weight_g
0.0,PREHEAT,96.8,80.1,48.5,80.0,54.8,-0.05,-1.128
1.0,PREHEAT,96.8,80.1,48.5,80.0,54.8,-0.07,-1.128
2.0,PREHEAT,96.3,80.0,48.5,79.9,54.7,-0.02,-1.128
3.0,PREHEAT,96.3,80.1,48.5,79.9,54.9,-0.1,-1.128
4.0,PREHEAT,95.9,80.1,48.5,79.9,55.1,-0.03,-1.128
5.0,PREHEAT,96.8,80.1,48.5,79.9,55.1,-0.2,-1.128
6.0,PREHEAT,96.8,80.1,48.5,79.7,55.2,-0.32,-1.128
7.0,PREHEAT,95.9,80.1,48.6,79.7,55.3,-0.2,-1.128
8.0,PREHEAT,96.3,80.1,48.6,79.7,55.3,0.02,-1.128
9.0,PREHEAT,96.3,80.1,48.5,79.6,55.4,0.05,-1.128
10.0,PREHEAT,96.8,80.1,48.6,79.7,55.5,-0.25,-1.128
11.0,PREHEAT,96.8,80.1,48.5,79.7,55.5,-0.05,-1.128
12.0,PREHEAT,97.2,80.1,48.5,79.7,55.5,-0.17,-1.128
13.0,PREHEAT,97.7,80.1,48.5,79.6,55.5,-0.1,-1.128
14.0,PREHEAT,97.7,80.1,48.5,79.6,55.5,-0.1,-1.128
15.0,PREHEAT,97.7,80.1,48.5,79.6,55.7,-0.02,-1.128
16.0,PREHEAT,98.2,80.1,48.6,79.7,55.8,-0.23,-1.128
17.0,PREHEAT,98.2,80.0,48.6,79.5,55.9,-0.15,-1.128
18.0,PREHEAT,98.2,80.1,48.6,79.5,56.0,-0.18,-1.128
19.0,PREHEAT,98.6,80.0,48.7,79.7,56.1,-0.02,-1.128
20.0,PREHEAT,98.6,80.1,48.8,79.5,56.1,-0.28,-1.128
21.0,PREHEAT,98.6,80.1,48.8,79.5,56.2,-0.22,-1.128
22.0,PREHEAT,98.6,80.0,48.8,79.6,56.4,-0.22,-1.128
23.0,PREHEAT,100.4,80.0,48.9,79.6,56.4,-0.23,-1.128
24.0,PREHEAT,99.5,80.0,49.0,79.5,56.5,-0.1,-1.128
25.0,PREHEAT,100.4,80.0,49.1,79.4,56.6,-0.08,-1.128
26.0,PREHEAT,100.4,80.0,49.1,79.5,56.8,-0.22,-1.128
27.0,PREHEAT,101.3,80.0,49.2,79.5,56.8,-0.07,-1.128
28.0,PREHEAT,100.4,80.0,49.2,79.5,56.8,-0.07,-1.128
29.0,PREHEAT,100.4,80.0,49.2,79.4,56.8,-0.18,-1.128
30.0,PREHEAT,101.3,80.0,49.3,79.4,56.9,-0.07,-1.128
