# Helios characterization  mode=driphold  started=20260602_175502
# charge=30.0s = 50.0 mL @ 1.667 mL/s   target_rh=80.0%
# notes=
elapsed_s,phase,puck_f,chamber_f,chamber_rh,column_f,column_rh,pressure_pa,weight_g
75.0,PREHEAT,137.8,80.2,60.7,79.3,67.8,-0.07,-1.149
76.0,PREHEAT,138.7,80.2,60.7,79.3,67.7,-0.05,-1.149
77.0,PREHEAT,139.1,80.2,60.7,79.3,67.6,-0.07,-1.149
78.0,PREHEAT,139.6,80.2,60.7,79.3,67.6,-0.07,-1.149
79.0,PREHEAT,140.0,80.2,60.7,79.3,67.6,-0.07,-1.149
80.0,PREHEAT,140.0,80.2,60.7,79.3,67.6,-0.05,-1.149
81.0,PREHEAT,140.4,80.2,60.7,79.3,67.6,-0.07,-1.149
82.0,PREHEAT,140.4,80.2,60.7,79.3,67.6,-0.08,-1.149
83.0,PREHEAT,141.8,80.2,60.7,79.3,67.6,-0.07,-1.149
84.0,PREHEAT,141.3,80.2,60.7,79.3,67.7,-0.05,-1.149
85.0,PREHEAT,140.9,80.2,60.7,79.3,67.7,-0.05,-1.149
86.0,PREHEAT,142.2,80.2,60.7,79.3,67.7,-0.05,-1.149
87.0,PREHEAT,142.2,80.2,60.7,79.3,67.7,-0.07,-1.149
88.0,PREHEAT,141.8,80.3,60.7,79.3,67.7,-0.05,-1.149
89.0,PREHEAT,142.2,80.2,60.7,79.3,67.8,-0.07,-1.149
90.0,PREHEAT,142.7,80.2,60.8,79.3,67.7,-0.07,-1.149
91.0,PREHEAT,143.6,80.2,60.7,79.4,67.7,-0.05,-1.149
92.0,PREHEAT,144.1,80.3,60.7,79.3,67.7,-0.05,-1.149
93.0,PREHEAT,144.5,80.3,60.8,79.3,67.7,-0.05,-1.149
94.0,PREHEAT,144.9,80.3,60.8,79.4,67.7,-0.05,-1.149
95.0,PREHEAT,145.8,80.2,60.8,79.4,67.6,-0.07,-1.149
96.0,PREHEAT,145.4,80.3,60.8,79.3,67.6,-0.07,-1.149
97.0,PREHEAT,145.4,80.3,60.8,79.4,67.6,-0.07,-1.149
98.0,PREHEAT,145.8,80.3,60.8,79.3,67.6,-0.05,-1.149
99.0,PREHEAT,145.8,80.3,60.8,79.4,67.6,-0.05,-1.149
100.0,PREHEAT,145.4,80.3,60.8,79.4,67.6,-0.05,-1.149
101.0,PREHEAT,145.4,80.3,60.8,79.4,67.8,-0.07,-1.149
102.0,PREHEAT,145.4,80.3,60.9,79.4,67.7,-0.05,-1.149
103.0,PREHEAT,145.8,80.3,60.9,79.4,67.8,-0.07,-1.149
104.0,PREHEAT,145.4,80.3,60.9,79.4,67.8,-0.07,-1.149
# SUMMARY  reached_80pct=no  time_to_target_s=0.0  peak_rh=60.9  peak_time_s=102.0  water_gone_s=0.0  charge_ml=50.0
