# Helios characterization  mode=driphold  started=20260602_192602
# charge=30.0s = 50.0 mL @ 1.667 mL/s   target_rh=80.0%
# notes=
elapsed_s,phase,puck_f,chamber_f,chamber_rh,column_f,column_rh,pressure_pa,weight_g
0.0,PREHEAT,171.5,86.0,36.2,86.1,43.9,-0.08,-1.307
1.0,PREHEAT,170.6,86.0,36.2,86.0,43.9,0.12,-1.307
2.0,PREHEAT,171.1,85.9,35.5,86.0,43.4,-0.07,-1.307
3.0,PREHEAT,171.1,86.0,34.7,85.9,42.9,-0.13,-1.307
4.0,PREHEAT,170.6,85.9,34.3,85.9,42.2,-0.18,-1.307
5.0,PREHEAT,171.1,85.9,34.0,85.9,42.1,-0.23,-1.307
6.0,PREHEAT,170.6,85.9,34.0,85.9,42.1,-0.23,-1.307
7.0,PREHEAT,170.6,85.9,33.8,85.8,41.7,-0.07,-1.307
8.0,PREHEAT,171.1,85.9,33.7,85.8,41.8,-0.08,-1.295
9.0,PREHEAT,171.1,85.9,33.7,85.9,42.4,-0.1,-1.295
10.0,PREHEAT,171.1,85.9,33.7,85.8,42.6,-0.13,-1.295
11.0,PREHEAT,171.1,85.9,33.9,85.7,42.3,-0.15,-1.295
12.0,PREHEAT,171.1,85.9,33.9,85.7,42.2,-0.2,-1.284
13.0,PREHEAT,171.5,85.9,34.0,85.7,42.1,-0.05,-1.284
14.0,PREHEAT,171.5,85.8,34.1,85.7,42.4,-0.22,-1.284
15.0,PREHEAT,171.9,85.8,34.1,85.7,42.5,-0.25,-1.284
16.0,PREHEAT,172.4,85.8,34.3,85.6,42.7,-0.1,-1.284
17.0,PREHEAT,172.4,85.8,34.4,85.6,42.9,-0.27,-1.284
18.0,PREHEAT,172.4,85.8,34.5,85.6,43.0,-0.13,-1.284
19.0,PREHEAT,172.4,85.8,34.7,85.6,43.0,-0.13,-1.284
20.0,PREHEAT,172.4,85.8,34.7,85.5,42.9,-0.08,-1.284
21.0,PREHEAT,173.3,85.8,34.8,85.4,43.1,-0.23,-1.284
22.0,PREHEAT,173.8,85.8,35.0,85.6,43.3,-0.07,-1.284
23.0,PREHEAT,174.2,85.8,35.1,85.5,43.4,-0.23,-1.273
24.0,PREHEAT,174.2,85.8,35.2,85.5,43.4,-0.07,-1.273
25.0,PREHEAT,174.2,85.8,35.4,85.5,43.9,-0.2,-1.273
26.0,PREHEAT,174.2,85.7,35.6,85.5,44.0,-0.07,-1.273
27.0,PREHEAT,174.7,85.8,35.8,85.4,44.0,-0.23,-1.273
28.0,PREHEAT,175.1,85.8,35.9,85.4,44.1,-0.2,-1.273
29.0,PREHEAT,175.1,85.7,36.1,85.3,44.1,-0.12,-1.273
30.0,PREHEAT,176.0,85.7,36.2,85.3,44.2,-0.08,-1.273
31.0,PREHEAT,176.0,85.7,36.4,85.3,44.3,-0.2,-1.273
32.0,PREHEAT,176.4,85.8,36.5,85.2,44.4,-0.22,-1.273
33.0,PREHEAT,176.0,85.8,36.5,85.2,44.4,-0.22,-1.273
34.0,PREHEAT,176.0,85.7,36.6,85.2,44.6,-0.12,-1.273
35.0,PREHEAT,176.9,85.7,36.7,85.2,44.7,-0.08,-1.261
36.0,PREHEAT,176.9,85.7,36.8,85.1,44.6,-0.25,-1.261
37.0,PREHEAT,177.3,85.7,37.0,85.2,44.7,-0.17,-1.261
38.0,PREHEAT,177.8,85.7,37.1,85.2,44.9,-0.12,-1.261
39.0,PREHEAT,177.8,85.8,37.2,85.1,45.1,-0.37,-1.261
40.0,PREHEAT,178.7,85.8,37.2,85.1,45.2,-0.32,-1.25
41.0,PREHEAT,178.7,85.7,37.3,85.0,45.2,-0.08,-1.25
42.0,PREHEAT,178.7,85.8,37.4,85.0,45.2,-0.08,-1.25
43.0,PREHEAT,179.6,85.8,37.4,84.9,45.3,-0.13,-1.25
44.0,PREHEAT,179.6,85.7,37.5,85.0,45.4,-0.18,-1.25
45.0,PREHEAT,180.1,85.7,37.6,85.0,45.6,0.02,-1.25
46.0,PREHEAT,180.1,85.7,37.7,85.0,45.6,0.02,-1.25
47.0,PREHEAT,180.1,85.7,37.7,84.9,45.8,-0.22,-1.25
48.0,PREHEAT,180.1,85.7,37.8,85.0,46.0,-0.22,-1.25
49.0,PREHEAT,180.1,85.7,38.0,84.9,46.1,-0.08,-1.25
50.0,PREHEAT,180.9,85.7,38.1,85.0,46.3,-0.02,-1.25
51.0,PREHEAT,180.9,85.8,38.2,84.9,46.3,-0.13,-1.25
